,H_bar,Q_bar,T_bar,P_bar,H_kam,Q_kam,T_kam,Q_bar_Orig,H_bar_Orig,P_ger_Orig,P_Cigelka,P_Regetovka,day_of_year,hour_of_day
2008-01-02 07:00:00,153.29166666666666,2.2153454861111093,0.13611111111111054,0.0,95.0,0.46806423611111087,0.0,2.236,153.0,0.0,0.318,0.0,2,7
2008-01-02 08:00:00,153.33333333333334,2.2139305555555535,0.13888888888888834,0.0,95.0,0.464222222222222,0.0,2.234,153.0,0.0,0.869,0.0,2,8
2008-01-02 09:00:00,153.375,2.2125156249999973,0.1416666666666661,0.0,95.0,0.46038020833333315,0.0,2.233,153.0,0.0,1.812,0.0,2,9
2008-01-02 10:00:00,153.41666666666666,2.2111006944444416,0.1444444444444439,0.0,95.0,0.45653819444444427,0.0,2.231,153.0,0.0,2.059,0.0,2,10
2008-01-02 11:00:00,153.45833333333334,2.209685763888886,0.1472222222222217,0.0,95.0,0.4526961805555554,0.0,2.23,153.0,0.0,2.43,0.0,2,11
2008-01-02 12:00:00,153.5,2.20827083333333,0.1499999999999995,0.0,95.0,0.4488541666666665,0.0,2.228,153.0,0.0,2.715,0.0,2,12
2008-01-02 13:00:00,153.54166666666666,2.2068559027777743,0.1527777777777773,0.0,95.0,0.4450121527777776,0.0,2.227,153.0,0.0,1.614,0.0,2,13
2008-01-02 14:00:00,153.58333333333334,2.2054409722222186,0.15555555555555506,0.0,95.0,0.44117013888888873,0.0,2.225,153.0,0.0,2.72,0.0,2,14
2008-01-02 15:00:00,153.625,2.204026041666663,0.15833333333333288,0.0,95.0,0.43732812499999985,0.0,2.223,153.0,0.0,0.137,0.037,2,15
2008-01-02 16:00:00,153.66666666666666,2.2026111111111066,0.16111111111111065,0.0,95.0,0.433486111111111,0.0,2.222,153.0,0.0,0.489,0.023,2,16
2008-01-02 17:00:00,153.70833333333334,2.201196180555551,0.16388888888888845,0.0,95.0,0.42964409722222213,0.0,2.22,153.0,0.0,0.197,0.071,2,17
2008-01-02 18:00:00,153.75,2.199781249999995,0.16666666666666624,0.0,95.0,0.42580208333333325,0.0,2.219,153.0,0.0,0.1,0.0,2,18
2008-01-02 19:00:00,153.79166666666666,2.1983663194444394,0.16944444444444404,0.0,95.0,0.42196006944444436,0.0,2.217,153.0,0.0,0.101,0.0,2,19
2008-01-02 20:00:00,153.83333333333334,2.1969513888888836,0.17222222222222183,0.0,95.0,0.4181180555555555,0.0,2.216,153.0,0.0,0.0,0.0,2,20
2008-01-02 21:00:00,153.875,2.1955364583333274,0.1749999999999996,0.0,95.0,0.41427604166666665,0.0,2.214,153.0,0.0,0.0,0.0,2,21
2008-01-02 22:00:00,153.91666666666666,2.1941215277777717,0.1777777777777774,0.0,95.0,0.4104340277777777,0.0,2.212,153.0,0.0,0.108,0.0,2,22
